artist_name;artist_pop;track_name;track_pop;album;key;mode;tempo;duration_ms;time_signature;energy;danceability;instrumentalness
AVAION;63.0;Pieces;73.0;Pieces;4.0;1.0;120.015;196413.0;4.0;0.271;0.7;0.322
SIDEPIECE;62.0;Together;62.0;Together;2.0;0.0;125.056;186341.0;4.0;0.749;0.727;0.00666
Kaskade;66.0;Turn It Down v3;38.0;Turn It Down v3;5.0;0.0;125.006;292354.0;4.0;0.862;0.738;0.028
JLV;51.0;Chemical Days;58.0;Chemical Days;5.0;0.0;124.019;175183.0;4.0;0.834;0.745;0.483
Swedish House Mafia;76.0;Redlight;16.0;Redlight;2.0;1.0;125.012;242905.0;4.0;0.655;0.716;0.162
John Summit;65.0;Deep End - SIDEPIECE Remix;65.0;Deep End (SIDEPIECE Remix);11.0;0.0;126.007;196687.0;4.0;0.652;0.773;0.024
ARTBAT;59.0;Horizon;63.0;Horizon;5.0;0.0;124.023;464516.0;4.0;0.66;0.647;0.914
Michael Calfan;59.0;No Lie;47.0;No Lie;1.0;0.0;122.034;166992.0;4.0;0.701;0.719;0.121
Jess Ball;46.0;Messed Up;33.0;Messed Up;2.0;0.0;140.993;131489.0;4.0;0.515;0.816;1.1e-06
SOMMA;61.0;Body on Fire;63.0;Body on Fire;9.0;0.0;125.024;159180.0;4.0;0.691;0.735;0.0186
Nazzereene;45.0;Where I Belong;16.0;Where I Belong;0.0;1.0;109.997;160364.0;4.0;0.669;0.924;0.00519
Don Diablo;67.0;Bad;64.0;Bad;0.0;1.0;123.927;169911.0;4.0;0.738;0.791;0.00826
Lost Frequencies;76.0;Where Are You Now;89.0;Where Are You Now;6.0;0.0;120.966;148197.0;4.0;0.636;0.671;0.000411
Tinlicker;66.0;Because You Move Me;19.0;Because You Move Me III;2.0;0.0;122.997;196375.0;4.0;0.435;0.789;0.0395
Shouse;71.0;Love Tonight - David Guetta Remix Edit;82.0;Love Tonight (David Guetta Remix);10.0;0.0;126.002;158095.0;4.0;0.989;0.621;0.357
Sofi Tukker;68.0;Sun Came Up;64.0;Sun Came Up;9.0;0.0;124.001;202905.0;4.0;0.625;0.673;0.0219
Hayden James;60.0;On Your Own (feat. Elderbrook);55.0;On Your Own (feat. Elderbrook);4.0;0.0;124.988;223992.0;4.0;0.937;0.658;0.329
ACRAZE;68.0;Do It To It;85.0;Do It To It;11.0;0.0;124.927;157890.0;4.0;0.806;0.854;0.0542
The Chainsmokers;80.0;High - Don Diablo Remix;57.0;High (Don Diablo Remix);0.0;1.0;125.997;241905.0;4.0;0.9;0.75;1.66e-05
Ryan Shepherd;44.0;Never Give Up On You;55.0;Never Give Up On You;9.0;1.0;124.989;216539.0;4.0;0.71;0.779;3.17e-05
Dom Dolla;62.0;Strangers (with Mansionair);46.0;Strangers (with Mansionair);8.0;0.0;126.012;217390.0;4.0;0.891;0.638;0.782
MIME;32.0;DO IT AGAIN;12.0;DO IT AGAIN;8.0;0.0;106.038;187608.0;4.0;0.837;0.68;0.00372
